Channel;Device;GateID;N ID;Address;Description;Multiply factor 1;Gate Type 1;GateID1;N ID 1;Operation;Multiply factor 2;Gate Type 2;GateID2;N ID 2;Measured val. 1;Engineering val. 1;Measured val. 2;Engineering val. 2;Decimal digits;Record on historical file;Enable writing to device;Access groups;Apply decimal factor;From gate;Decimal Digits Gate Type;Decimal Digits Gate ID;Decimal Digits N Id
0;0;CMPGate;0;;Name_KWf J;1;CMP;CMPGate;100;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;100;;Name_KWf J;1;NUM;CMPGate;26;-;1;NUM;NUMGate_J-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;1;;Name_KWf S;1;CMP;CMPGate;101;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;101;;Name_KWf S;1;NUM;CMPGate;26;-;1;NUM;NUMGate_S-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;2;;Name_KWf M;1;CMP;CMPGate;102;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;102;;Name_KWf M;1;NUM;CMPGate;26;-;1;NUM;NUMGate_M-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;3;;Name_KWf A;1;CMP;CMPGate;103;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;103;;Name_KWf A;1;NUM;CMPGate;26;-;1;NUM;NUMGate_A-1;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;4;;Name_KWf / T J;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;5;;Name_KWf / T S;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;6;;Name_KWf / T M;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;7;;Name_KWf / T A;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;8;;Name_Inc J;1;NUM;NUMGate;27;-;1;NUM;NUMGate_J-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;9;;Name_Inc S;1;NUM;NUMGate;27;-;1;NUM;NUMGate_S-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;10;;Name_Inc M;1;NUM;NUMGate;27;-;1;NUM;NUMGate_M-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;11;;Name_Inc A;1;NUM;NUMGate;27;-;1;NUM;NUMGate_A-1;1;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;12;;Name_Temperature;1;NUM;NUMGate;12;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;13;;Name_Pression;1;NUM;NUMGate;13;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;14;;Name_KWf J-1;1;NUM;NUMGate;14;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;15;;Name_KWf S-1;1;NUM;NUMGate;15;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;16;;Name_KWf M-1;1;NUM;NUMGate;16;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;17;;Name_KWf A-1;1;NUM;NUMGate;17;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;18;;Name_KWf / T J-1;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;19;;Name_KWf / T S-1;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;20;;Name_KWf / T M-1;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;21;;Name_KWf / T A-1;1;NUM;ZERO;0;/;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;22;;Name_Inc J-1;1;NUM;NUMGate;22;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;23;;Name_Inc S-1;1;NUM;NUMGate;23;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;24;;Name_Inc M-1;1;NUM;NUMGate;24;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;25;;Name_Inc A-1;1;NUM;NUMGate;25;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;26;;Name_KWf;1;NUM;NUMGate;26;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;F;F;0;T;F;;;
0;0;CMPGate;27;;Name_Inc;1;NUM;NUMGate;27;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
0;0;CMPGate;49;;Name_Inc;1;NUM;NUMGate;49;DISCARD Lo;1;NUM;ZERO;0;0;0;1;1;1;T;F;0;F;F;;;
